Level,Subject,Year,Session month,Month code,Folder,QP PDF filename,Expected MS PDF filename,Paper ID
O-Level,"Accounting",2020,"May-June session",06,"Accounting-0452","Accounting-7707-2020-unit1-2020-06-12-qp.pdf","Accounting-7707-2020-unit1-2020-06-12-ms.pdf","accounting-7707-2020-unit1-june-p12-qp"
O-Level,"Accounting",2020,"May-June session",06,"Accounting-0452","Accounting-7707-2020-unit2-2020-06-22-qp.pdf","Accounting-7707-2020-unit2-2020-06-22-ms.pdf","accounting-7707-2020-unit2-june-p22-qp"
O-Level,"Accounting",2020,"October-November session",11,"Accounting-0452","Accounting-7707-2020-unit1-2020-11-13-qp.pdf","Accounting-7707-2020-unit1-2020-11-13-ms.pdf","accounting-7707-2020-unit1-november-p13-qp"
O-Level,"Accounting",2020,"October-November session",11,"Accounting-0452","Accounting-7707-2020-unit2-2020-11-23-qp.pdf","Accounting-7707-2020-unit2-2020-11-23-ms.pdf","accounting-7707-2020-unit2-november-p23-qp"
O-Level,"Accounting",2021,"May-June session",06,"Accounting-0452","Accounting-7707-2021-unit2-2021-06-24-qp.pdf","Accounting-7707-2021-unit2-2021-06-24-ms.pdf","accounting-7707-2021-unit2-june-p24-qp"
O-Level,"Accounting",2021,"October-November session",11,"Accounting-0452","Accounting-7707-2021-unit2-2021-11-23-qp.pdf","Accounting-7707-2021-unit2-2021-11-23-ms.pdf","accounting-7707-2021-unit2-november-p23-qp"
O-Level,"Accounting",2022,"May-June session",06,"Accounting-0452","Accounting-7707-2022-unit1-2022-06-12-qp.pdf","Accounting-7707-2022-unit1-2022-06-12-ms.pdf","accounting-7707-2022-unit1-june-p12-qp"
O-Level,"Accounting",2022,"May-June session",06,"Accounting-0452","Accounting-7707-2022-unit2-2022-06-22-qp.pdf","Accounting-7707-2022-unit2-2022-06-22-ms.pdf","accounting-7707-2022-unit2-june-p22-qp"
O-Level,"Accounting",2022,"October-November session",11,"Accounting-0452","Accounting-7707-2022-unit1-2022-11-13-qp.pdf","Accounting-7707-2022-unit1-2022-11-13-ms.pdf","accounting-7707-2022-unit1-november-p13-qp"
O-Level,"Accounting",2023,"May-June session",06,"Accounting-0452","Accounting-7707-2023-unit1-2023-06-12-qp.pdf","Accounting-7707-2023-unit1-2023-06-12-ms.pdf","accounting-7707-2023-unit1-june-p12-qp"
O-Level,"Accounting",2023,"May-June session",06,"Accounting-0452","Accounting-7707-2023-unit2-2023-06-22-qp.pdf","Accounting-7707-2023-unit2-2023-06-22-ms.pdf","accounting-7707-2023-unit2-june-p22-qp"
O-Level,"Accounting",2023,"October-November session",11,"Accounting-0452","Accounting-7707-2023-unit1-2023-11-13-qp.pdf","Accounting-7707-2023-unit1-2023-11-13-ms.pdf","accounting-7707-2023-unit1-november-p13-qp"
O-Level,"Accounting",2023,"October-November session",11,"Accounting-0452","Accounting-7707-2023-unit2-2023-11-23-qp.pdf","Accounting-7707-2023-unit2-2023-11-23-ms.pdf","accounting-7707-2023-unit2-november-p23-qp"
O-Level,"Accounting",2024,"May-June session",06,"Accounting-0452","Accounting-7707-2024-unit1-2024-06-12-qp.pdf","Accounting-7707-2024-unit1-2024-06-12-ms.pdf","accounting-7707-2024-unit1-june-p12-qp"
O-Level,"Accounting",2024,"October-November session",11,"Accounting-0452","Accounting-7707-2024-unit1-2024-11-13-qp.pdf","Accounting-7707-2024-unit1-2024-11-13-ms.pdf","accounting-7707-2024-unit1-november-p13-qp"
O-Level,"Accounting",2024,"October-November session",11,"Accounting-0452","Accounting-7707-2024-unit2-2024-11-23-qp.pdf","Accounting-7707-2024-unit2-2024-11-23-ms.pdf","accounting-7707-2024-unit2-november-p23-qp"
O-Level,"Accounting",2025,"May-June session",06,"Accounting-0452","Accounting-7707-2025-unit1-2025-06-12-qp.pdf","Accounting-7707-2025-unit1-2025-06-12-ms.pdf","accounting-7707-2025-unit1-june-p12-qp"
O-Level,"Accounting",2025,"May-June session",06,"Accounting-0452","Accounting-7707-2025-unit2-2025-06-22-qp.pdf","Accounting-7707-2025-unit2-2025-06-22-ms.pdf","accounting-7707-2025-unit2-june-p22-qp"
O-Level,"Biology",2021,"May-June session",06,"Biology-0610","Biology-5090-2021-unit1-2021-06-12-qp.pdf","Biology-5090-2021-unit1-2021-06-12-ms.pdf","biology-5090-2021-unit1-june-p12-qp"
O-Level,"Biology",2021,"May-June session",06,"Biology-0610","Biology-5090-2021-unit2-2021-06-22-qp.pdf","Biology-5090-2021-unit2-2021-06-22-ms.pdf","biology-5090-2021-unit2-june-p22-qp"
O-Level,"Biology",2021,"May-June session",06,"Biology-0610","Biology-5090-2021-unit6-2021-06-62-qp.pdf","Biology-5090-2021-unit6-2021-06-62-ms.pdf","biology-5090-2021-unit6-june-p62-qp"
O-Level,"Biology",2021,"October-November session",11,"Biology-0610","Biology-5090-2021-unit1-2021-11-12-qp.pdf","Biology-5090-2021-unit1-2021-11-12-ms.pdf","biology-5090-2021-unit1-november-p12-qp"
O-Level,"Biology",2021,"October-November session",11,"Biology-0610","Biology-5090-2021-unit2-2021-11-22-qp.pdf","Biology-5090-2021-unit2-2021-11-22-ms.pdf","biology-5090-2021-unit2-november-p22-qp"
O-Level,"Biology",2021,"October-November session",11,"Biology-0610","Biology-5090-2021-unit6-2021-11-62-qp.pdf","Biology-5090-2021-unit6-2021-11-62-ms.pdf","biology-5090-2021-unit6-november-p62-qp"
O-Level,"Biology",2022,"May-June session",06,"Biology-0610","Biology-5090-2022-unit1-2022-06-12-qp.pdf","Biology-5090-2022-unit1-2022-06-12-ms.pdf","biology-5090-2022-unit1-june-p12-qp"
O-Level,"Biology",2022,"May-June session",06,"Biology-0610","Biology-5090-2022-unit2-2022-06-22-qp.pdf","Biology-5090-2022-unit2-2022-06-22-ms.pdf","biology-5090-2022-unit2-june-p22-qp"
O-Level,"Biology",2022,"May-June session",06,"Biology-0610","Biology-5090-2022-unit6-2022-06-62-qp.pdf","Biology-5090-2022-unit6-2022-06-62-ms.pdf","biology-5090-2022-unit6-june-p62-qp"
O-Level,"Biology",2022,"October-November session",11,"Biology-0610","Biology-5090-2022-unit1-2022-11-12-qp.pdf","Biology-5090-2022-unit1-2022-11-12-ms.pdf","biology-5090-2022-unit1-november-p12-qp"
O-Level,"Biology",2022,"October-November session",11,"Biology-0610","Biology-5090-2022-unit2-2022-11-22-qp.pdf","Biology-5090-2022-unit2-2022-11-22-ms.pdf","biology-5090-2022-unit2-november-p22-qp"
O-Level,"Biology",2022,"October-November session",11,"Biology-0610","Biology-5090-2022-unit6-2022-11-62-qp.pdf","Biology-5090-2022-unit6-2022-11-62-ms.pdf","biology-5090-2022-unit6-november-p62-qp"
O-Level,"Biology",2023,"May-June session",06,"Biology-0610","Biology-5090-2023-unit1-2023-06-12-qp.pdf","Biology-5090-2023-unit1-2023-06-12-ms.pdf","biology-5090-2023-unit1-june-p12-qp"
O-Level,"Biology",2023,"May-June session",06,"Biology-0610","Biology-5090-2023-unit2-2023-06-22-qp.pdf","Biology-5090-2023-unit2-2023-06-22-ms.pdf","biology-5090-2023-unit2-june-p22-qp"
O-Level,"Biology",2023,"May-June session",06,"Biology-0610","Biology-5090-2023-unit4-2023-06-42-qp.pdf","Biology-5090-2023-unit4-2023-06-42-ms.pdf","biology-5090-2023-unit4-june-p42-qp"
O-Level,"Biology",2023,"October-November session",11,"Biology-0610","Biology-5090-2023-unit1-2023-11-12-qp.pdf","Biology-5090-2023-unit1-2023-11-12-ms.pdf","biology-5090-2023-unit1-november-p12-qp"
O-Level,"Biology",2023,"October-November session",11,"Biology-0610","Biology-5090-2023-unit2-2023-11-22-qp.pdf","Biology-5090-2023-unit2-2023-11-22-ms.pdf","biology-5090-2023-unit2-november-p22-qp"
O-Level,"Biology",2023,"October-November session",11,"Biology-0610","Biology-5090-2023-unit4-2023-11-42-qp.pdf","Biology-5090-2023-unit4-2023-11-42-ms.pdf","biology-5090-2023-unit4-november-p42-qp"
O-Level,"Biology",2024,"May-June session",06,"Biology-0610","Biology-5090-2024-unit1-2024-06-12-qp.pdf","Biology-5090-2024-unit1-2024-06-12-ms.pdf","biology-5090-2024-unit1-june-p12-qp"
O-Level,"Biology",2024,"May-June session",06,"Biology-0610","Biology-5090-2024-unit2-2024-06-22-qp.pdf","Biology-5090-2024-unit2-2024-06-22-ms.pdf","biology-5090-2024-unit2-june-p22-qp"
O-Level,"Biology",2024,"October-November session",11,"Biology-0610","Biology-0610-2024-unit1-2024-11-qp.pdf","Biology-0610-2024-unit1-2024-11-ms.pdf","biology-0610-2024-unit1-november-qp"
O-Level,"Biology",2024,"October-November session",11,"Biology-0610","Biology-0610-2024-unit2-2024-11-qp.pdf","Biology-0610-2024-unit2-2024-11-ms.pdf","biology-0610-2024-unit2-november-qp"
O-Level,"Biology",2024,"October-November session",11,"Biology-0610","Biology-5090-2024-unit3-2024-11-32-qp.pdf","Biology-5090-2024-unit3-2024-11-32-ms.pdf","biology-5090-2024-unit3-november-p32-qp"
O-Level,"Biology",2024,"October-November session",11,"Biology-0610","Biology-5090-2024-unit4-2024-11-42-qp.pdf","Biology-5090-2024-unit4-2024-11-42-ms.pdf","biology-5090-2024-unit4-november-p42-qp"
O-Level,"Biology",2025,"May-June session",06,"Biology-0610","Biology-5090-2025-unit1-2025-06-12-qp.pdf","Biology-5090-2025-unit1-2025-06-12-ms.pdf","biology-5090-2025-unit1-june-p12-qp"
O-Level,"Biology",2025,"May-June session",06,"Biology-0610","Biology-5090-2025-unit2-2025-06-22-qp.pdf","Biology-5090-2025-unit2-2025-06-22-ms.pdf","biology-5090-2025-unit2-june-p22-qp"
O-Level,"Biology",2025,"May-June session",06,"Biology-0610","Biology-5090-2025-unit4-2025-06-42-qp.pdf","Biology-5090-2025-unit4-2025-06-42-ms.pdf","biology-5090-2025-unit4-june-p42-qp"
O-Level,"Business",2015,"February-March session",03,"BusinessStudies-0450","BusinessStudies-0450-2015-unit1-2015-03-qp.pdf","BusinessStudies-0450-2015-unit1-2015-03-ms.pdf","business-0450-2015-unit1-march-qp"
O-Level,"Business",2016,"February-March session",03,"BusinessStudies-0450","BusinessStudies-0450-2016-unit1-2016-03-qp.pdf","BusinessStudies-0450-2016-unit1-2016-03-ms.pdf","business-0450-2016-unit1-march-qp"
O-Level,"Business",2019,"October-November session",11,"BusinessStudies-0450","BusinessStudies-0450-2019-unit1-2019-11-12-qp.pdf","BusinessStudies-0450-2019-unit1-2019-11-12-ms.pdf","business-0450-2019-unit1-november-p12-qp"
O-Level,"Chemistry",2016,"May-June session",06,"Chemistry-0620","Chemistry-0620-2016-unit2-2016-06-22-qp.pdf","Chemistry-0620-2016-unit2-2016-06-22-ms.pdf","chemistry-0620-2016-unit2-june-p22-qp"
O-Level,"Chemistry",2016,"October-November session",11,"Chemistry-0620","Chemistry-0620-2016-unit1-2016-11-12-qp.pdf","Chemistry-0620-2016-unit1-2016-11-12-ms.pdf","chemistry-0620-2016-unit1-november-p12-qp"
O-Level,"Chemistry",2017,"October-November session",11,"Chemistry-0620","Chemistry-0620-2017-unit4-2017-11-43-qp.pdf","Chemistry-0620-2017-unit4-2017-11-43-ms.pdf","chemistry-0620-2017-unit4-november-p43-qp"
O-Level,"Chemistry",2018,"May-June session",06,"Chemistry-0620","Chemistry-0620-2018-unit1-2018-06-12-qp.pdf","Chemistry-0620-2018-unit1-2018-06-12-ms.pdf","chemistry-0620-2018-unit1-june-p12-qp"
O-Level,"Chemistry",2018,"October-November session",11,"Chemistry-0620","Chemistry-0620-2018-unit4-2018-11-42-qp.pdf","Chemistry-0620-2018-unit4-2018-11-42-ms.pdf","chemistry-0620-2018-unit4-november-p42-qp"
O-Level,"Chemistry",2020,"February-March session",03,"Chemistry-0620","Chemistry-0620-2020-unit5-2020-03-qp.pdf","Chemistry-0620-2020-unit5-2020-03-ms.pdf","chemistry-0620-2020-unit5-march-qp"
O-Level,"Chemistry",2020,"May-June session",06,"Chemistry-0620","Chemistry-0620-2020-unit5-2020-06-52-qp.pdf","Chemistry-0620-2020-unit5-2020-06-52-ms.pdf","chemistry-0620-2020-unit5-june-p52-qp"
O-Level,"Chemistry",2020,"May-June session",06,"Chemistry-0620","Chemistry-0620-2020-unit6-2020-06-63-qp.pdf","Chemistry-0620-2020-unit6-2020-06-63-ms.pdf","chemistry-0620-2020-unit6-june-p63-qp"
O-Level,"Chemistry",2020,"October-November session",11,"Chemistry-0620","Chemistry-0620-2020-unit4-2020-11-42-qp.pdf","Chemistry-0620-2020-unit4-2020-11-42-ms.pdf","chemistry-0620-2020-unit4-november-p42-qp"
O-Level,"Chemistry",2021,"February-March session",03,"Chemistry-0620","Chemistry-0620-2021-unit4-2021-03-qp.pdf","Chemistry-0620-2021-unit4-2021-03-ms.pdf","chemistry-0620-2021-unit4-march-qp"
O-Level,"Chemistry",2021,"October-November session",11,"Chemistry-0620","Chemistry-0620-2021-unit4-2021-11-42-qp.pdf","Chemistry-0620-2021-unit4-2021-11-42-ms.pdf","chemistry-0620-2021-unit4-november-p42-qp"
O-Level,"Chemistry",2022,"May-June session",06,"Chemistry-0620","Chemistry-0620-2022-unit4-2022-06-42-qp.pdf","Chemistry-0620-2022-unit4-2022-06-42-ms.pdf","chemistry-0620-2022-unit4-june-p42-qp"
O-Level,"Chemistry",2022,"October-November session",11,"Chemistry-0620","Chemistry-0620-2022-unit4-2022-11-42-qp.pdf","Chemistry-0620-2022-unit4-2022-11-42-ms.pdf","chemistry-0620-2022-unit4-november-p42-qp"
O-Level,"Chemistry",2023,"October-November session",11,"Chemistry-0620","Chemistry-0620-2023-unit4-2023-11-43-qp.pdf","Chemistry-0620-2023-unit4-2023-11-43-ms.pdf","chemistry-0620-2023-unit4-november-p43-qp"
O-Level,"Chemistry",2025,"October-November session",11,"Chemistry-0620","Chemistry-0620-2025-unit2-2025-11-22-qp.pdf","Chemistry-0620-2025-unit2-2025-11-22-ms.pdf","chemistry-0620-2025-unit2-november-p22-qp"
O-Level,"English First Language",2024,"May-June session",06,"EnglishFirstLanguage-0500","EnglishFirstLanguage-0500-2024-unit1-2024-06-12-qp.pdf","EnglishFirstLanguage-0500-2024-unit1-2024-06-12-ms.pdf","english_first-0500-2024-unit1-june-p12-qp"
O-Level,"Mathematics",2003,"October-November session",11,"Mathematics-0580","Mathematics-0580-2003-unit1-2003-11-1-qp.pdf","Mathematics-0580-2003-unit1-2003-11-1-ms.pdf","mathematics-0580-2003-unit1-november-p1-qp"
O-Level,"Mathematics",2003,"October-November session",11,"Mathematics-0580","Mathematics-0580-2003-unit2-2003-11-2-qp.pdf","Mathematics-0580-2003-unit2-2003-11-2-ms.pdf","mathematics-0580-2003-unit2-november-p2-qp"
O-Level,"Mathematics",2003,"October-November session",11,"Mathematics-0580","Mathematics-0580-2003-unit3-2003-11-3-qp.pdf","Mathematics-0580-2003-unit3-2003-11-3-ms.pdf","mathematics-0580-2003-unit3-november-p3-qp"
O-Level,"Mathematics",2003,"October-November session",11,"Mathematics-0580","Mathematics-0580-2003-unit4-2003-11-4-qp.pdf","Mathematics-0580-2003-unit4-2003-11-4-ms.pdf","mathematics-0580-2003-unit4-november-p4-qp"
O-Level,"Mathematics",2010,"May-June session",06,"Mathematics-0580","Mathematics-0580-2010-unit1-2010-06-11-qp.pdf","Mathematics-0580-2010-unit1-2010-06-11-ms.pdf","mathematics-0580-2010-unit1-june-p11-qp"
O-Level,"Mathematics",2010,"May-June session",06,"Mathematics-0580","Mathematics-0580-2010-unit2-2010-06-21-qp.pdf","Mathematics-0580-2010-unit2-2010-06-21-ms.pdf","mathematics-0580-2010-unit2-june-p21-qp"
O-Level,"Mathematics",2010,"May-June session",06,"Mathematics-0580","Mathematics-0580-2010-unit4-2010-06-41-qp.pdf","Mathematics-0580-2010-unit4-2010-06-41-ms.pdf","mathematics-0580-2010-unit4-june-p41-qp"
O-Level,"Mathematics",2010,"October-November session",11,"Mathematics-0580","Mathematics-0580-2010-unit1-2010-11-12-qp.pdf","Mathematics-0580-2010-unit1-2010-11-12-ms.pdf","mathematics-0580-2010-unit1-november-p12-qp"
O-Level,"Mathematics",2010,"October-November session",11,"Mathematics-0580","Mathematics-0580-2010-unit2-2010-11-22-qp.pdf","Mathematics-0580-2010-unit2-2010-11-22-ms.pdf","mathematics-0580-2010-unit2-november-p22-qp"
O-Level,"Mathematics",2010,"October-November session",11,"Mathematics-0580","Mathematics-0580-2010-unit3-2010-11-32-qp.pdf","Mathematics-0580-2010-unit3-2010-11-32-ms.pdf","mathematics-0580-2010-unit3-november-p32-qp"
O-Level,"Mathematics",2010,"October-November session",11,"Mathematics-0580","Mathematics-0580-2010-unit4-2010-11-42-qp.pdf","Mathematics-0580-2010-unit4-2010-11-42-ms.pdf","mathematics-0580-2010-unit4-november-p42-qp"
O-Level,"Mathematics",2011,"May-June session",06,"Mathematics-0580","Mathematics-0580-2011-unit1-2011-06-12-qp.pdf","Mathematics-0580-2011-unit1-2011-06-12-ms.pdf","mathematics-0580-2011-unit1-june-p12-qp"
O-Level,"Mathematics",2011,"May-June session",06,"Mathematics-0580","Mathematics-0580-2011-unit2-2011-06-22-qp.pdf","Mathematics-0580-2011-unit2-2011-06-22-ms.pdf","mathematics-0580-2011-unit2-june-p22-qp"
O-Level,"Mathematics",2011,"May-June session",06,"Mathematics-0580","Mathematics-0580-2011-unit3-2011-06-32-qp.pdf","Mathematics-0580-2011-unit3-2011-06-32-ms.pdf","mathematics-0580-2011-unit3-june-p32-qp"
O-Level,"Mathematics",2011,"May-June session",06,"Mathematics-0580","Mathematics-0580-2011-unit4-2011-06-42-qp.pdf","Mathematics-0580-2011-unit4-2011-06-42-ms.pdf","mathematics-0580-2011-unit4-june-p42-qp"
O-Level,"Mathematics",2011,"October-November session",11,"Mathematics-0580","Mathematics-0580-2011-unit1-2011-11-12-qp.pdf","Mathematics-0580-2011-unit1-2011-11-12-ms.pdf","mathematics-0580-2011-unit1-november-p12-qp"
O-Level,"Mathematics",2011,"October-November session",11,"Mathematics-0580","Mathematics-0580-2011-unit2-2011-11-22-qp.pdf","Mathematics-0580-2011-unit2-2011-11-22-ms.pdf","mathematics-0580-2011-unit2-november-p22-qp"
O-Level,"Mathematics",2011,"October-November session",11,"Mathematics-0580","Mathematics-0580-2011-unit3-2011-11-32-qp.pdf","Mathematics-0580-2011-unit3-2011-11-32-ms.pdf","mathematics-0580-2011-unit3-november-p32-qp"
O-Level,"Mathematics",2011,"October-November session",11,"Mathematics-0580","Mathematics-0580-2011-unit4-2011-11-42-qp.pdf","Mathematics-0580-2011-unit4-2011-11-42-ms.pdf","mathematics-0580-2011-unit4-november-p42-qp"
O-Level,"Mathematics",2012,"May-June session",06,"Mathematics-0580","Mathematics-0580-2012-unit1-2012-06-12-qp.pdf","Mathematics-0580-2012-unit1-2012-06-12-ms.pdf","mathematics-0580-2012-unit1-june-p12-qp"
O-Level,"Mathematics",2012,"May-June session",06,"Mathematics-0580","Mathematics-0580-2012-unit2-2012-06-22-qp.pdf","Mathematics-0580-2012-unit2-2012-06-22-ms.pdf","mathematics-0580-2012-unit2-june-p22-qp"
O-Level,"Mathematics",2012,"May-June session",06,"Mathematics-0580","Mathematics-0580-2012-unit3-2012-06-32-qp.pdf","Mathematics-0580-2012-unit3-2012-06-32-ms.pdf","mathematics-0580-2012-unit3-june-p32-qp"
O-Level,"Mathematics",2012,"May-June session",06,"Mathematics-0580","Mathematics-0580-2012-unit4-2012-06-42-qp.pdf","Mathematics-0580-2012-unit4-2012-06-42-ms.pdf","mathematics-0580-2012-unit4-june-p42-qp"
O-Level,"Mathematics",2012,"October-November session",11,"Mathematics-0580","Mathematics-0580-2012-unit1-2012-11-12-qp.pdf","Mathematics-0580-2012-unit1-2012-11-12-ms.pdf","mathematics-0580-2012-unit1-november-p12-qp"
O-Level,"Mathematics",2012,"October-November session",11,"Mathematics-0580","Mathematics-0580-2012-unit2-2012-11-22-qp.pdf","Mathematics-0580-2012-unit2-2012-11-22-ms.pdf","mathematics-0580-2012-unit2-november-p22-qp"
O-Level,"Mathematics",2012,"October-November session",11,"Mathematics-0580","Mathematics-0580-2012-unit3-2012-11-32-qp.pdf","Mathematics-0580-2012-unit3-2012-11-32-ms.pdf","mathematics-0580-2012-unit3-november-p32-qp"
O-Level,"Mathematics",2012,"October-November session",11,"Mathematics-0580","Mathematics-0580-2012-unit4-2012-11-42-qp.pdf","Mathematics-0580-2012-unit4-2012-11-42-ms.pdf","mathematics-0580-2012-unit4-november-p42-qp"
O-Level,"Mathematics",2013,"May-June session",06,"Mathematics-0580","Mathematics-0580-2013-unit1-2013-06-12-qp.pdf","Mathematics-0580-2013-unit1-2013-06-12-ms.pdf","mathematics-0580-2013-unit1-june-p12-qp"
O-Level,"Mathematics",2013,"May-June session",06,"Mathematics-0580","Mathematics-0580-2013-unit2-2013-06-22-qp.pdf","Mathematics-0580-2013-unit2-2013-06-22-ms.pdf","mathematics-0580-2013-unit2-june-p22-qp"
O-Level,"Mathematics",2013,"May-June session",06,"Mathematics-0580","Mathematics-0580-2013-unit3-2013-06-32-qp.pdf","Mathematics-0580-2013-unit3-2013-06-32-ms.pdf","mathematics-0580-2013-unit3-june-p32-qp"
O-Level,"Mathematics",2013,"May-June session",06,"Mathematics-0580","Mathematics-0580-2013-unit4-2013-06-42-qp.pdf","Mathematics-0580-2013-unit4-2013-06-42-ms.pdf","mathematics-0580-2013-unit4-june-p42-qp"
O-Level,"Mathematics",2013,"October-November session",11,"Mathematics-0580","Mathematics-0580-2013-unit1-2013-11-12-qp.pdf","Mathematics-0580-2013-unit1-2013-11-12-ms.pdf","mathematics-0580-2013-unit1-november-p12-qp"
O-Level,"Mathematics",2013,"October-November session",11,"Mathematics-0580","Mathematics-0580-2013-unit2-2013-11-22-qp.pdf","Mathematics-0580-2013-unit2-2013-11-22-ms.pdf","mathematics-0580-2013-unit2-november-p22-qp"
O-Level,"Mathematics",2013,"October-November session",11,"Mathematics-0580","Mathematics-0580-2013-unit3-2013-11-32-qp.pdf","Mathematics-0580-2013-unit3-2013-11-32-ms.pdf","mathematics-0580-2013-unit3-november-p32-qp"
O-Level,"Mathematics",2013,"October-November session",11,"Mathematics-0580","Mathematics-0580-2013-unit4-2013-11-42-qp.pdf","Mathematics-0580-2013-unit4-2013-11-42-ms.pdf","mathematics-0580-2013-unit4-november-p42-qp"
O-Level,"Mathematics",2016,"May-June session",06,"Mathematics-0580","Mathematics-0580-2016-unit1-2016-06-12-qp.pdf","Mathematics-0580-2016-unit1-2016-06-12-ms.pdf","mathematics-0580-2016-unit1-june-p12-qp"
O-Level,"Mathematics",2016,"May-June session",06,"Mathematics-0580","Mathematics-0580-2016-unit2-2016-06-22-qp.pdf","Mathematics-0580-2016-unit2-2016-06-22-ms.pdf","mathematics-0580-2016-unit2-june-p22-qp"
O-Level,"Mathematics",2016,"May-June session",06,"Mathematics-0580","Mathematics-0580-2016-unit3-2016-06-32-qp.pdf","Mathematics-0580-2016-unit3-2016-06-32-ms.pdf","mathematics-0580-2016-unit3-june-p32-qp"
O-Level,"Mathematics",2016,"May-June session",06,"Mathematics-0580","Mathematics-0580-2016-unit4-2016-06-42-qp.pdf","Mathematics-0580-2016-unit4-2016-06-42-ms.pdf","mathematics-0580-2016-unit4-june-p42-qp"
O-Level,"Mathematics",2016,"October-November session",11,"Mathematics-0580","Mathematics-0580-2016-unit1-2016-11-12-qp.pdf","Mathematics-0580-2016-unit1-2016-11-12-ms.pdf","mathematics-0580-2016-unit1-november-p12-qp"
O-Level,"Mathematics",2016,"October-November session",11,"Mathematics-0580","Mathematics-0580-2016-unit2-2016-11-22-qp.pdf","Mathematics-0580-2016-unit2-2016-11-22-ms.pdf","mathematics-0580-2016-unit2-november-p22-qp"
O-Level,"Mathematics",2016,"October-November session",11,"Mathematics-0580","Mathematics-0580-2016-unit3-2016-11-32-qp.pdf","Mathematics-0580-2016-unit3-2016-11-32-ms.pdf","mathematics-0580-2016-unit3-november-p32-qp"
O-Level,"Mathematics",2016,"October-November session",11,"Mathematics-0580","Mathematics-0580-2016-unit4-2016-11-42-qp.pdf","Mathematics-0580-2016-unit4-2016-11-42-ms.pdf","mathematics-0580-2016-unit4-november-p42-qp"
O-Level,"Mathematics",2017,"May-June session",06,"Mathematics-0580","Mathematics-0580-2017-unit1-2017-06-12-qp.pdf","Mathematics-0580-2017-unit1-2017-06-12-ms.pdf","mathematics-0580-2017-unit1-june-p12-qp"
O-Level,"Mathematics",2017,"May-June session",06,"Mathematics-0580","Mathematics-0580-2017-unit2-2017-06-22-qp.pdf","Mathematics-0580-2017-unit2-2017-06-22-ms.pdf","mathematics-0580-2017-unit2-june-p22-qp"
O-Level,"Mathematics",2017,"May-June session",06,"Mathematics-0580","Mathematics-0580-2017-unit3-2017-06-32-qp.pdf","Mathematics-0580-2017-unit3-2017-06-32-ms.pdf","mathematics-0580-2017-unit3-june-p32-qp"
