Level,Subject,Year,Session month,Month code,QP PDFs,JSON created,Not created,Status,Parse failed,Missing MS,Errors,Low answer match
O-Level,"Accounting",2020,"May-June session",06,4,2,2,Partial,0,2,0,0
O-Level,"Accounting",2020,"October-November session",11,4,2,2,Partial,0,2,0,0
O-Level,"Accounting",2021,"May-June session",06,3,2,1,Partial,0,1,0,1
O-Level,"Accounting",2021,"October-November session",11,3,2,1,Partial,0,1,0,0
O-Level,"Accounting",2022,"May-June session",06,4,2,2,Partial,0,2,0,0
O-Level,"Accounting",2022,"October-November session",11,3,2,1,Partial,0,1,0,0
O-Level,"Accounting",2023,"May-June session",06,4,2,2,Partial,0,2,0,0
O-Level,"Accounting",2023,"October-November session",11,4,2,2,Partial,0,2,0,0
O-Level,"Accounting",2024,"May-June session",06,3,2,1,Partial,0,1,0,0
O-Level,"Accounting",2024,"October-November session",11,4,2,2,Partial,0,2,0,0
O-Level,"Accounting",2025,"May-June session",06,4,2,2,Partial,0,2,0,0
O-Level,"Accounting",2025,"October-November session",11,2,2,0,All,0,0,0,0
O-Level,"Biology",2021,"May-June session",06,8,5,3,Partial,0,3,0,0
O-Level,"Biology",2021,"October-November session",11,8,5,3,Partial,0,3,0,0
O-Level,"Biology",2022,"May-June session",06,8,5,3,Partial,0,3,0,0
O-Level,"Biology",2022,"October-November session",11,8,4,4,Partial,1,3,0,0
O-Level,"Biology",2023,"May-June session",06,8,5,3,Partial,0,3,0,0
O-Level,"Biology",2023,"October-November session",11,8,2,6,Partial,3,3,0,0
O-Level,"Biology",2024,"May-June session",06,7,4,3,Partial,1,2,0,0
O-Level,"Biology",2024,"October-November session",11,6,2,4,Partial,0,4,0,0
O-Level,"Biology",2025,"May-June session",06,8,2,6,Partial,3,3,0,0
O-Level,"Biology",2025,"October-November session",11,8,3,5,Partial,5,0,0,0
O-Level,"Business",2015,"February-March session",03,2,0,2,None,1,1,0,0
O-Level,"Business",2015,"May-June session",06,6,0,6,None,6,0,0,0
O-Level,"Business",2015,"October-November session",11,5,0,5,None,5,0,0,0
O-Level,"Business",2016,"February-March session",03,2,0,2,None,1,1,0,0
O-Level,"Business",2016,"May-June session",06,5,2,3,Partial,3,0,0,0
O-Level,"Business",2016,"October-November session",11,5,2,3,Partial,3,0,0,0
O-Level,"Business",2017,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Business",2017,"May-June session",06,5,5,0,All,0,0,0,0
O-Level,"Business",2017,"October-November session",11,6,6,0,All,0,0,0,0
O-Level,"Business",2018,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Business",2018,"May-June session",06,5,4,1,Partial,1,0,0,0
O-Level,"Business",2018,"October-November session",11,5,5,0,All,0,0,0,0
O-Level,"Business",2019,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Business",2019,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Business",2019,"October-November session",11,5,4,1,Partial,0,1,0,0
O-Level,"Business",2020,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Business",2020,"May-June session",06,6,1,5,Partial,5,0,0,0
O-Level,"Business",2020,"October-November session",11,5,4,1,Partial,1,0,0,0
O-Level,"Business",2021,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Business",2021,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Business",2021,"October-November session",11,5,5,0,All,0,0,0,0
O-Level,"Business",2022,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Business",2022,"May-June session",06,5,5,0,All,0,0,0,0
O-Level,"Business",2022,"October-November session",11,5,3,2,Partial,2,0,0,0
O-Level,"Business",2023,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"Business",2023,"May-June session",06,5,5,0,All,0,0,0,0
O-Level,"Business",2023,"October-November session",11,5,3,2,Partial,2,0,0,0
O-Level,"Business",2024,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"Business",2024,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Business",2024,"October-November session",11,5,5,0,All,0,0,0,0
O-Level,"Business",2025,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"Business",2025,"May-June session",06,6,4,2,Partial,2,0,0,0
O-Level,"Business",2025,"October-November session",11,5,4,1,Partial,1,0,0,0
O-Level,"Chemistry",2015,"February-March session",03,5,1,4,Partial,4,0,0,1
O-Level,"Chemistry",2015,"May-June session",06,15,13,2,Partial,2,0,0,3
O-Level,"Chemistry",2015,"October-November session",11,15,9,6,Partial,6,0,0,3
O-Level,"Chemistry",2016,"February-March session",03,6,6,0,All,0,0,0,2
O-Level,"Chemistry",2016,"May-June session",06,18,17,1,Partial,0,1,0,5
O-Level,"Chemistry",2016,"October-November session",11,18,17,1,Partial,0,1,0,5
O-Level,"Chemistry",2017,"February-March session",03,6,5,1,Partial,1,0,0,2
O-Level,"Chemistry",2017,"May-June session",06,17,17,0,All,0,0,0,6
O-Level,"Chemistry",2017,"October-November session",11,18,17,1,Partial,0,1,0,6
O-Level,"Chemistry",2018,"February-March session",03,5,5,0,All,0,0,0,2
O-Level,"Chemistry",2018,"May-June session",06,18,17,1,Partial,0,1,0,5
O-Level,"Chemistry",2018,"October-November session",11,18,17,1,Partial,0,1,0,6
O-Level,"Chemistry",2019,"February-March session",03,6,6,0,All,0,0,0,2
O-Level,"Chemistry",2019,"May-June session",06,18,18,0,All,0,0,0,6
O-Level,"Chemistry",2019,"October-November session",11,18,16,2,Partial,2,0,0,6
O-Level,"Chemistry",2020,"February-March session",03,6,5,1,Partial,0,1,0,0
O-Level,"Chemistry",2020,"May-June session",06,17,15,2,Partial,0,2,0,0
O-Level,"Chemistry",2020,"October-November session",11,18,17,1,Partial,0,1,0,0
O-Level,"Chemistry",2021,"February-March session",03,6,5,1,Partial,0,1,0,0
O-Level,"Chemistry",2021,"May-June session",06,18,18,0,All,0,0,0,0
O-Level,"Chemistry",2021,"October-November session",11,18,17,1,Partial,0,1,0,0
O-Level,"Chemistry",2022,"February-March session",03,6,6,0,All,0,0,0,0
O-Level,"Chemistry",2022,"May-June session",06,18,17,1,Partial,0,1,0,0
O-Level,"Chemistry",2022,"October-November session",11,18,10,8,Partial,7,1,0,0
O-Level,"Chemistry",2023,"February-March session",03,6,2,4,Partial,4,0,0,0
O-Level,"Chemistry",2023,"May-June session",06,18,18,0,All,0,0,0,0
O-Level,"Chemistry",2023,"October-November session",11,17,12,5,Partial,4,1,0,0
O-Level,"Chemistry",2024,"February-March session",03,5,3,2,Partial,2,0,0,0
O-Level,"Chemistry",2024,"October-November session",11,17,15,2,Partial,2,0,0,0
O-Level,"Chemistry",2025,"February-March session",03,5,4,1,Partial,1,0,0,0
O-Level,"Chemistry",2025,"May-June session",06,18,12,6,Partial,6,0,0,0
O-Level,"Chemistry",2025,"October-November session",11,17,11,6,Partial,5,1,0,0
O-Level,"Computer Science",2015,"May-June session",06,6,0,6,None,6,0,0,0
O-Level,"Computer Science",2015,"October-November session",11,6,0,6,None,6,0,0,0
O-Level,"Computer Science",2016,"May-June session",06,6,0,6,None,6,0,0,0
O-Level,"Computer Science",2016,"October-November session",11,8,0,8,None,8,0,0,0
O-Level,"Computer Science",2017,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Computer Science",2017,"May-June session",06,6,4,2,Partial,2,0,0,0
O-Level,"Computer Science",2017,"October-November session",11,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2018,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Computer Science",2018,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2018,"October-November session",11,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2019,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Computer Science",2019,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2019,"October-November session",11,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2020,"February-March session",03,2,0,2,None,0,0,2,0
O-Level,"Computer Science",2020,"May-June session",06,6,1,5,Partial,0,0,5,0
O-Level,"Computer Science",2020,"October-November session",11,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2021,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Computer Science",2021,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2021,"October-November session",11,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2022,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Computer Science",2022,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2022,"October-November session",11,6,4,2,Partial,2,0,0,0
O-Level,"Computer Science",2023,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"Computer Science",2023,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2023,"October-November session",11,6,5,1,Partial,1,0,0,0
O-Level,"Computer Science",2024,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Computer Science",2024,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Computer Science",2024,"October-November session",11,6,5,1,Partial,1,0,0,0
O-Level,"Computer Science",2025,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"Computer Science",2025,"May-June session",06,6,5,1,Partial,1,0,0,0
O-Level,"Computer Science",2025,"October-November session",11,5,3,2,Partial,2,0,0,0
O-Level,"Economics",2015,"February-March session",03,2,1,1,Partial,1,0,0,1
O-Level,"Economics",2015,"May-June session",06,6,3,3,Partial,3,0,0,3
O-Level,"Economics",2015,"October-November session",11,5,3,2,Partial,2,0,0,3
O-Level,"Economics",2016,"February-March session",03,2,1,1,Partial,1,0,0,1
O-Level,"Economics",2016,"May-June session",06,6,3,3,Partial,3,0,0,3
O-Level,"Economics",2016,"October-November session",11,5,2,3,Partial,3,0,0,2
O-Level,"Economics",2017,"February-March session",03,2,2,0,All,0,0,0,1
O-Level,"Economics",2017,"May-June session",06,6,6,0,All,0,0,0,3
O-Level,"Economics",2017,"October-November session",11,6,6,0,All,0,0,0,3
O-Level,"Economics",2018,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Economics",2018,"May-June session",06,6,6,0,All,0,0,0,3
O-Level,"Economics",2018,"October-November session",11,6,6,0,All,0,0,0,3
O-Level,"Economics",2019,"February-March session",03,2,2,0,All,0,0,0,1
O-Level,"Economics",2019,"May-June session",06,6,6,0,All,0,0,0,3
O-Level,"Economics",2019,"October-November session",11,6,6,0,All,0,0,0,3
O-Level,"Economics",2020,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Economics",2020,"May-June session",06,6,3,3,Partial,3,0,0,0
O-Level,"Economics",2020,"October-November session",11,6,5,1,Partial,1,0,0,0
O-Level,"Economics",2021,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Economics",2021,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Economics",2021,"October-November session",11,6,6,0,All,0,0,0,0
O-Level,"Economics",2022,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Economics",2022,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Economics",2022,"October-November session",11,6,4,2,Partial,2,0,0,0
O-Level,"Economics",2023,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"Economics",2023,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Economics",2023,"October-November session",11,6,6,0,All,0,0,0,0
O-Level,"Economics",2024,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Economics",2024,"May-June session",06,6,6,0,All,0,0,0,0
O-Level,"Economics",2024,"October-November session",11,6,5,1,Partial,1,0,0,0
O-Level,"Economics",2025,"February-March session",03,2,2,0,All,0,0,0,0
O-Level,"Economics",2025,"May-June session",06,6,5,1,Partial,1,0,0,0
O-Level,"Economics",2025,"October-November session",11,6,5,1,Partial,1,0,0,0
O-Level,"English First Language",2015,"February-March session",03,3,0,3,None,3,0,0,0
O-Level,"English First Language",2015,"May-June session",06,9,0,9,None,9,0,0,0
O-Level,"English First Language",2015,"October-November session",11,9,0,9,None,9,0,0,0
O-Level,"English First Language",2016,"February-March session",03,3,0,3,None,3,0,0,0
O-Level,"English First Language",2016,"May-June session",06,9,0,9,None,9,0,0,0
O-Level,"English First Language",2016,"October-November session",11,9,2,7,Partial,7,0,0,0
O-Level,"English First Language",2017,"February-March session",03,3,2,1,Partial,1,0,0,0
O-Level,"English First Language",2017,"May-June session",06,9,6,3,Partial,3,0,0,0
O-Level,"English First Language",2017,"October-November session",11,9,6,3,Partial,3,0,0,0
O-Level,"English First Language",2018,"February-March session",03,3,2,1,Partial,1,0,0,0
O-Level,"English First Language",2018,"May-June session",06,9,6,3,Partial,3,0,0,0
O-Level,"English First Language",2018,"October-November session",11,9,6,3,Partial,3,0,0,0
O-Level,"English First Language",2019,"February-March session",03,3,2,1,Partial,1,0,0,0
O-Level,"English First Language",2019,"May-June session",06,9,6,3,Partial,3,0,0,0
O-Level,"English First Language",2019,"October-November session",11,9,6,3,Partial,3,0,0,0
O-Level,"English First Language",2020,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"English First Language",2020,"May-June session",06,6,0,6,None,6,0,0,0
O-Level,"English First Language",2020,"October-November session",11,6,1,5,Partial,5,0,0,0
O-Level,"English First Language",2021,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"English First Language",2021,"May-June session",06,5,0,5,None,5,0,0,0
O-Level,"English First Language",2021,"October-November session",11,5,1,4,Partial,4,0,0,0
O-Level,"English First Language",2022,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"English First Language",2022,"May-June session",06,6,1,5,Partial,5,0,0,0
O-Level,"English First Language",2022,"October-November session",11,5,0,5,None,5,0,0,0
O-Level,"English First Language",2023,"February-March session",03,2,0,2,None,2,0,0,0
O-Level,"English First Language",2023,"May-June session",06,5,0,5,None,5,0,0,0
O-Level,"English First Language",2023,"October-November session",11,6,0,6,None,6,0,0,0
O-Level,"English First Language",2024,"February-March session",03,2,0,2,None,2,0,0,0
O-Level,"English First Language",2024,"May-June session",06,6,0,6,None,5,1,0,0
O-Level,"English First Language",2024,"October-November session",11,6,0,6,None,6,0,0,0
O-Level,"English First Language",2025,"February-March session",03,2,0,2,None,2,0,0,0
O-Level,"English First Language",2025,"May-June session",06,6,3,3,Partial,3,0,0,0
O-Level,"English First Language",2025,"October-November session",11,6,3,3,Partial,3,0,0,0
O-Level,"English Second Language",2015,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2015,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2016,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2016,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2017,"February-March session",03,4,0,4,None,2,0,2,0
O-Level,"English Second Language",2017,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2017,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2018,"February-March session",03,4,2,2,Partial,2,0,0,0
O-Level,"English Second Language",2018,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2018,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2019,"February-March session",03,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2019,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2019,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2020,"February-March session",03,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2020,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2020,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2021,"February-March session",03,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2021,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2021,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2022,"February-March session",03,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2022,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2022,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2023,"February-March session",03,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2023,"May-June session",06,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2023,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"English Second Language",2024,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"English Second Language",2024,"May-June session",06,2,1,1,Partial,1,0,0,0
O-Level,"English Second Language",2024,"October-November session",11,2,1,1,Partial,1,0,0,0
O-Level,"English Second Language",2025,"February-March session",03,2,1,1,Partial,1,0,0,0
O-Level,"English Second Language",2025,"May-June session",06,2,1,1,Partial,1,0,0,0
O-Level,"English Second Language",2025,"October-November session",11,2,1,1,Partial,1,0,0,0
O-Level,"Mathematics",2003,"October-November session",11,4,0,4,None,0,4,0,0
O-Level,"Mathematics",2004,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"Mathematics",2005,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"Mathematics",2006,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"Mathematics",2007,"October-November session",11,4,0,4,None,4,0,0,0
O-Level,"Mathematics",2010,"May-June session",06,16,0,16,None,13,3,0,0
O-Level,"Mathematics",2010,"October-November session",11,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2011,"May-June session",06,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2011,"October-November session",11,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2012,"May-June session",06,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2012,"October-November session",11,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2013,"May-June session",06,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2013,"October-November session",11,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2016,"February-March session",03,4,0,4,None,4,0,0,0
O-Level,"Mathematics",2016,"May-June session",06,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2016,"October-November session",11,12,0,12,None,8,4,0,0
O-Level,"Mathematics",2017,"February-March session",03,4,0,4,None,4,0,0,0
O-Level,"Mathematics",2017,"May-June session",06,12,8,4,Partial,0,4,0,0
O-Level,"Mathematics",2017,"October-November session",11,11,7,4,Partial,0,4,0,0
O-Level,"Mathematics",2018,"May-June session",06,12,6,6,Partial,2,4,0,0
O-Level,"Mathematics",2018,"October-November session",11,12,8,4,Partial,0,4,0,0
O-Level,"Mathematics",2019,"February-March session",03,4,4,0,All,0,0,0,0
O-Level,"Mathematics",2019,"May-June session",06,12,8,4,Partial,0,4,0,0
O-Level,"Mathematics",2019,"October-November session",11,12,8,4,Partial,0,4,0,0
O-Level,"Mathematics",2020,"February-March session",03,4,4,0,All,0,0,0,0
O-Level,"Mathematics",2020,"May-June session",06,12,8,4,Partial,0,4,0,0
O-Level,"Mathematics",2020,"October-November session",11,12,8,4,Partial,0,4,0,0
O-Level,"Mathematics",2022,"February-March session",03,4,4,0,All,0,0,0,0
